"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@AKKicanINDIAN Sundar?",FALSE,70,"AKKicanINDIAN",2019-09-04 10:21:05,FALSE,"1169193569300692992","1169193659453059072","1016382578566180865","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"All the tastiest dishes start with P

Pizza
Pasta
Paneer Tikka
Paranthas
Pchole Bhature",FALSE,699,NA,2019-09-04 10:20:09,FALSE,NA,"1169193423527694336",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",54,FALSE,FALSE,NA,NA
"@too_lazyy Hey Nikhil! He might be from Holland but dil hai fir bhi Hindustani. :p
Do share the order ID for the sa… https://t.co/ebwiG0WMBr",FALSE,0,"too_lazyy",2019-09-04 07:36:43,TRUE,"1168856445565071360","1169152293868056578","149228605","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"(Morning)

I can't start my day without tea

(Afternoon) 

I need a tea break

(Evening)

It's been a long day

(Ni… https://t.co/vNjWyDjMUY",FALSE,149,"ZomatoIN",2019-09-04 06:35:48,TRUE,"1169128086975201281","1169136966056779776","3282245130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",13,FALSE,FALSE,NA,NA
"RT @arpitm3hta: @ZomatoIN 1) Boosts productivity
2) Ban gayi hai, waste ho jaegi
3) Dekh kar mann hogaya
4) There's no coffee available tha…",FALSE,0,NA,2019-09-04 06:29:15,FALSE,NA,"1169135316554407938",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",1,TRUE,FALSE,NA,NA
"(in winters)

It's too cold

(in summers)

It's too hot and lohe ko loha kaat-ta hai",FALSE,90,"ZomatoIN",2019-09-04 06:17:13,FALSE,"1169130551971913728","1169132286878605313","3282245130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",8,FALSE,FALSE,NA,NA
"Kyunki kisi aur ke liye ban rahi hai.",FALSE,70,"ZomatoIN",2019-09-04 06:10:19,FALSE,"1169129995496841216","1169130551971913728","3282245130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",3,FALSE,FALSE,NA,NA
"It’s 11:38 and I have had only 3 cups of tea.",FALSE,57,"ZomatoIN",2019-09-04 06:08:06,FALSE,"1169128284958920705","1169129995496841216","3282245130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",2,FALSE,FALSE,NA,NA
"My productivity is directly proportional to the cups of tea I’ve had.",FALSE,78,"ZomatoIN",2019-09-04 06:01:19,FALSE,"1169128086975201281","1169128284958920705","3282245130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",8,FALSE,FALSE,NA,NA
"Issued in public interest: A thread of excuses to have chai. Keep adding<U+0001F447>",FALSE,288,NA,2019-09-04 06:00:31,FALSE,NA,"1169128086975201281",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",22,FALSE,FALSE,NA,NA
"Papa: ""Mera beta bada hoke collector banega.""

Beta: *becomes a collector of oregano and chilli flakes packets*",FALSE,3132,NA,2019-09-03 06:39:51,FALSE,NA,"1168775594152087553",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",410,FALSE,FALSE,NA,NA
"RT @FeedingIndia: No generation should see this map in their books! Let’s change these blurred lines and make India a #ZeroHunger nation!…",FALSE,0,NA,2019-08-30 02:54:14,FALSE,NA,"1167269267554783232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",50,TRUE,FALSE,NA,NA
"Here's something that will make your day – some of our delivery partners showcasing their talents. <U+0001F3A4><U+0001F3BC> 

#RideToFame https://t.co/GOAfw2H6rO",FALSE,491,NA,2019-08-29 10:58:02,FALSE,NA,"1167028630343626753",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",76,FALSE,FALSE,NA,NA
"RT @durgaraghunath: Witness to the devastating floods across Assam and Bihar,  @ZomatoIn and @FeedingIndia set up a relief fund to help tho…",FALSE,0,NA,2019-08-27 09:11:00,FALSE,NA,"1166276916862693376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",49,TRUE,FALSE,NA,NA
"@HittendraM @zomatocare Hey Hittendra! We tried reaching out to you but unfortunately you were unresponsive. Kindly… https://t.co/gY4qfM5BEW",FALSE,0,"HittendraM",2019-08-26 12:10:36,TRUE,"1165667611373232128","1165959727970316288","1158474769244643328","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"@LKethineni @Zomato Hey Lahari! We tried reaching out to you but unfortunately you were unresponsive. Kindly help u… https://t.co/4RTOXRklVk",FALSE,2,"LKethineni",2019-08-26 10:50:25,TRUE,"1165654399672143872","1165939550180372480","1104414603583221760","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"@nishuvyas9 @zomatocare @durgaraghunath @Zomato @deepigoyal @ZomatoUAE @ZomatoGold @ZomatoQA @ZomatoAUS @ZomatoLB… https://t.co/UWUs7I6hW2",FALSE,0,"nishuvyas9",2019-08-26 10:49:52,TRUE,"1165909625859764224","1165939412477210624","3023927275","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"RT @realvjy: Say hello to Zomato's newest design system.

To learn more: https://t.co/jmRovPAvsP https://t.co/ms8tZ0TFuw",FALSE,0,NA,2019-08-26 10:33:36,FALSE,NA,"1165935317263642624",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",38,TRUE,FALSE,NA,NA
"@Ankit11131167 @zomatocare Hey Ankit! We tried reaching out to you but unfortunately you were unresponsive. Kindly… https://t.co/6XBZhD6cSb",FALSE,0,"Ankit11131167",2019-08-26 10:22:57,TRUE,"1165854805253771265","1165932636679729152","1165848356679106560","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"@mohdadnan722 @Zomato @zomatocare Hey Adnan! We tried reaching out to you but unfortunately you were unresponsive.… https://t.co/ta3mHlTndp",FALSE,0,"mohdadnan722",2019-08-26 10:22:37,TRUE,"1165822909232762880","1165932554198769665","1057663370768330753","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"@zomatocare @abhijeetkadam51 @Zomato Hey Abhijeet! We tried reaching out to you but unfortunately you were unrespon… https://t.co/35XI1UfRQY",FALSE,0,"zomatocare",2019-08-26 10:21:59,TRUE,"1165913109946486784","1165932394844577793","988362975617601536","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"@sansanananana Hey Sana. That's not cool at all. Kindly help us with your concerned order ID so that we can get this checked -AU",FALSE,0,"sansanananana",2019-08-26 10:21:03,FALSE,"1165555034584576000","1165932160127135744","488121324","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
"@srivatsavgoud @zomatocare Hey there! We tried reaching out to you but unfortunately you were unresponsive. Kindly… https://t.co/EDglehcXkN",FALSE,0,"srivatsavgoud",2019-08-26 10:18:45,TRUE,"1165728715818422273","1165931582370144256","196998079","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ZomatoIN",0,FALSE,FALSE,NA,NA
